repo_id,language,stars,forks,open_issues,commits,contributors,size_kb,created_at,last_push
repo_87,Kotlin,48,5,3,295,33,24270,2023-06-01,2025-03-01
repo_88,Python,47,13,4,298,5,8124,2017-10-18,2020-02-20
repo_89,Kotlin,48,10,2,285,28,16778,2024-06-23,2028-01-19
repo_90,Kotlin,51,11,4,321,14,38356,2022-02-26,2022-03-14
repo_91,Kotlin,31,12,3,269,5,20511,2018-02-03,2018-04-14
repo_92,C++,54,11,7,293,33,43903,2019-02-09,2022-08-24
repo_93,JavaScript,52,10,4,297,48,19396,2016-12-03,2020-08-12
repo_94,JavaScript,56,6,5,292,41,26393,2021-09-15,2026-09-06
repo_95,Python,44,7,4,285,19,27272,2022-08-09,2023-06-09
repo_96,Kotlin,44,9,5,303,22,21228,2019-04-29,2023-05-12
repo_97,Ruby,56,12,4,308,5,18357,2015-06-11,2018-04-06
repo_98,Python,45,9,6,324,2,12955,2015-07-21,2019-03-19
repo_99,Python,50,11,9,302,30,19742,2020-06-04,2022-08-29
repo_100,Python,58,9,3,305,47,35685,2017-09-22,2020-10-22
repo_101,Python,38,10,8,284,39,20125,2021-05-06,2023-08-04
repo_102,Ruby,52,10,5,326,4,4558,2017-03-26,2017-10-04
repo_103,Python,48,9,1,334,33,5407,2024-02-25,2029-01-05
repo_104,Java,53,13,3,299,13,41801,2016-03-31,2020-08-14
repo_105,Python,61,12,5,309,20,18525,2024-09-03,2026-02-13
repo_106,Python,53,10,4,301,7,49931,2018-06-29,2018-12-16
repo_107,Python,39,14,6,307,15,43527,2017-10-13,2022-01-20
repo_108,JavaScript,51,9,5,315,23,28373,2021-06-01,2022-02-06
repo_109,JavaScript,61,4,5,312,14,38606,2022-07-30,2027-06-22
repo_110,Python,50,3,4,326,23,5768,2015-12-04,2019-10-14
repo_111,JavaScript,57,11,9,290,19,26034,2017-05-28,2020-10-09
repo_112,JavaScript,58,9,6,327,29,47295,2017-12-12,2019-06-05
repo_113,JavaScript,36,8,7,307,20,7797,2017-03-02,2021-09-09
repo_114,Python,52,12,3,338,29,24517,2021-03-14,2022-05-03
repo_115,JavaScript,43,10,2,312,24,16546,2017-02-02,2019-04-06
repo_116,Ruby,47,11,3,265,18,40697,2021-02-13,2024-12-17
repo_117,Python,49,15,2,300,10,10851,2016-01-15,2019-03-27
repo_118,Kotlin,48,5,7,258,41,46318,2016-05-07,2016-05-31
repo_119,Python,42,13,2,290,8,7452,2023-07-10,2028-07-28
repo_120,Python,48,14,5,293,26,13616,2018-03-26,2020-01-22
repo_121,JavaScript,52,12,5,332,29,23399,2020-08-24,2023-08-25
repo_122,JavaScript,57,9,7,302,10,32057,2015-03-06,2016-11-26
repo_123,Kotlin,47,6,5,298,17,29027,2022-01-12,2027-02-02
repo_124,Python,51,9,6,322,2,41194,2018-09-29,2023-10-29
repo_125,Python,47,17,7,326,6,36512,2018-02-26,2021-03-18
repo_126,JavaScript,41,13,3,301,5,29593,2020-07-20,2021-12-06
repo_127,C++,46,7,6,308,28,26811,2022-05-19,2026-10-26
repo_128,Java,50,11,8,307,41,8103,2019-02-04,2020-01-05
repo_129,Ruby,50,7,3,295,5,31807,2023-08-01,2024-09-28
repo_130,Python,47,15,6,301,18,3378,2018-03-08,2019-07-19
repo_131,Python,59,11,5,298,26,7396,2019-03-03,2022-12-19
repo_132,Kotlin,51,14,3,282,20,25498,2022-03-25,2024-10-26
repo_133,JavaScript,44,9,4,319,41,35942,2016-01-27,2017-10-17
repo_134,Ruby,51,10,6,293,49,13361,2019-08-26,2024-06-28
repo_135,Python,36,14,6,295,27,11273,2016-02-23,2019-06-29
repo_136,JavaScript,41,12,7,321,49,30549,2021-05-25,2023-05-12
repo_137,JavaScript,58,7,6,290,12,41180,2016-01-14,2019-12-20
repo_138,Ruby,47,12,5,298,7,1737,2019-12-02,2020-11-04
repo_139,Java,39,14,2,321,3,31881,2024-10-01,2026-07-21
repo_140,Python,43,15,5,319,10,13752,2021-03-28,2023-11-14
repo_141,Python,58,12,9,294,34,5203,2023-05-24,2028-10-04
repo_142,Python,51,10,3,317,25,25600,2020-09-19,2021-11-21
repo_143,Python,47,7,9,317,35,49896,2023-06-27,2028-06-06
repo_144,Python,47,6,2,301,16,34900,2020-12-22,2023-06-08
repo_145,Python,50,7,1,287,2,35629,2015-07-20,2015-12-05
repo_146,C++,55,18,4,295,24,48063,2020-02-07,2024-10-19
repo_147,Kotlin,52,14,3,341,10,18552,2017-02-18,2019-09-17
repo_148,Java,47,13,4,301,38,49493,2023-02-25,2024-08-19
repo_149,Python,61,15,5,307,22,31274,2023-07-02,2023-08-27
repo_150,JavaScript,44,10,1,249,26,35536,2023-07-17,2026-12-23
repo_151,Python,46,7,3,297,43,47506,2016-05-17,2018-03-05
repo_152,Python,47,5,5,294,39,16054,2021-09-20,2022-11-28
repo_153,Python,58,11,3,296,27,17286,2024-12-24,2026-01-11
repo_154,Python,57,9,12,327,29,12456,2019-10-18,2021-04-29
repo_155,C++,58,13,2,360,47,33063,2017-03-15,2017-09-24
repo_156,Java,52,8,3,320,38,2287,2020-11-16,2025-09-10
repo_157,JavaScript,50,9,4,279,20,11807,2022-06-24,2027-01-20
repo_158,JavaScript,57,9,9,285,27,35198,2020-03-10,2021-08-25
repo_159,Python,51,17,5,311,41,27035,2022-08-05,2024-01-04
repo_160,Python,58,10,3,296,20,21325,2019-04-20,2021-04-04
repo_161,Python,43,9,3,320,44,3706,2017-08-18,2019-09-07
repo_162,JavaScript,51,11,4,296,19,32928,2022-04-14,2022-10-15
repo_163,Java,56,9,4,320,20,26589,2019-01-25,2024-04-03
repo_164,Java,50,7,7,314,35,14487,2022-05-14,2023-03-01
repo_165,JavaScript,46,6,6,325,47,4027,2017-10-25,2021-07-14
repo_166,Python,47,16,3,284,2,6396,2024-01-03,2026-01-03
repo_167,Java,51,14,6,289,30,30544,2016-05-17,2016-09-09
repo_168,Python,43,13,6,293,34,46490,2022-09-15,2024-12-17
repo_169,Java,38,7,4,324,22,46993,2016-02-02,2019-01-09
repo_170,Kotlin,49,9,7,273,3,2691,2017-05-20,2019-04-04
repo_171,Java,57,8,4,315,6,44995,2022-10-13,2023-01-02
repo_172,JavaScript,58,12,7,318,15,48616,2016-01-28,2018-05-10
repo_173,Python,48,14,3,298,27,26247,2015-07-26,2016-06-22
repo_174,JavaScript,47,11,4,289,10,38989,2017-11-04,2019-05-14
repo_175,Python,55,10,7,295,9,1300,2020-02-25,2021-01-24
repo_176,Python,56,7,8,302,33,15821,2024-12-04,2026-05-19
repo_177,Ruby,55,6,2,265,32,19338,2023-01-18,2028-06-23
repo_178,C++,58,10,9,312,48,11187,2019-01-24,2019-09-01
repo_179,Kotlin,44,13,6,284,6,30916,2024-12-25,2026-09-20
repo_180,Python,61,7,4,297,41,23508,2017-05-13,2022-03-17
repo_181,Java,52,11,7,262,36,39840,2022-08-22,2027-06-13
repo_182,Python,49,10,2,290,2,236,2024-01-26,2024-12-13
repo_183,JavaScript,61,6,2,307,29,17513,2016-07-17,2021-09-03
repo_184,Python,51,8,3,314,4,48214,2017-10-17,2017-10-19
repo_185,C++,52,6,5,326,1,19078,2015-04-06,2019-12-18
repo_186,Python,48,12,7,287,19,761,2020-04-07,2020-10-29
repo_187,Ruby,36,11,4,277,26,35340,2019-10-24,2024-11-21
repo_188,Python,51,12,4,285,25,27353,2021-12-07,2022-01-15
repo_189,C++,46,6,5,302,10,26984,2024-07-10,2024-09-06
repo_190,Python,54,11,5,294,15,32954,2021-03-28,2023-11-03
repo_191,Python,60,10,4,313,22,10804,2022-08-28,2024-03-23
repo_192,JavaScript,55,8,5,288,48,39087,2019-08-06,2021-05-10
repo_193,Java,54,16,6,288,21,24627,2023-11-17,2028-01-25
repo_194,Java,41,10,5,299,22,16422,2016-06-24,2020-11-05
repo_195,Ruby,55,5,7,339,36,47617,2017-11-25,2023-02-14
repo_196,JavaScript,56,9,8,277,34,7068,2022-01-16,2024-05-07
repo_197,Java,51,21,4,315,30,27618,2018-03-29,2021-05-17
repo_198,Python,49,17,5,297,25,46464,2019-09-19,2023-10-30
repo_199,Python,50,15,6,282,45,27986,2024-01-28,2025-10-07
repo_200,JavaScript,50,11,9,317,28,1800,2023-08-24,2023-11-27
